Rule ID,Source Sheet,Source Cell,Business Label Context,Workbook Formula,Cached Value,Implementation Status
WB_ESTIMATE_G8,Estimate,G8,AE / Opportunity Number: | Upgrade App Count: | Billing Rate:,"IF(AND(B6=""Net_New"",F7>0),""Not Valid For Net New          "",""Billing Rate:"")",Billing Rate:,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_C12,Estimate,C12,MEP High Availability: | No,"IF(AND(VLOOKUP(Estimate!B11,Data!A22:G28,6,FALSE)=0,B12=""YES""),_xlfn.CONCAT(""      Not Valid For "",B11),"" "")", ,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_C13,Estimate,C13,Install MEP Gateway: | No,"IF(AND(VLOOKUP(Estimate!B11,Data!A22:G28,7,FALSE)=0,B13=""YES""),CONCATENATE(""      MEP Gateway Not Valid For "",B11),"" "")", ,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_G14,Estimate,G14,Install EPP: | No | EPP Only Integration Type: |  ,"IF(E14<>""None"",IF(MID(B11,1,3)<>""EPP"",""      EPP Integration Valid For EPP Only Project Type"","" ""),"" "")", ,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_C15,Estimate,C15,How Many Sites Print Labels:,"IF(AND(B14 <>""No"",B15=0),""At Least 1 Site Printing Labels"",IF(AND(B14=""No"",B15>0),""Site Count Must Be zero of no EPP install"",""""))",,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B17,Estimate,B17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,2,FALSE)),""        --"")",        Cycle Count Directed,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D17,Estimate,D17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,3,FALSE)),""        --"")",        Cycle Count - Non Directed Inventory Transfer,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F17,Estimate,F17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,4,FALSE)),""        --"")",        Inv Transfer Label Option,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H17,Estimate,H17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,5,FALSE)),""        --"")",        Inventory Inquiry,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J17,Estimate,J17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,6,FALSE)),""        --"")",        Invenotry Issue,CORE_ENGINE_OR_UI_MAPPED
